"NUTS_ID","year","natura2000","area","pop","GDPcap","tour","unemp","propFV_TOT","ALP","ATL","BLK","BOR","CON","MED","PAN","STE","CF","EFT"
"CZ07",2012,30.5690018311541,9229.8,134.5,17700,3319925,7.5,0.028745855482191,0,0,0,0,98,0,2,0,33.4435873793732,3695.21724397769
"CZ07",2013,30.5690018119642,9229.7,134.2,17700,3400921,8,0.028745855482191,0,0,0,0,98,0,2,0,33.4435873601833,3686.57559519589
"CZ08",2009,26.8198193239921,5426.4,233.6,16400,1851257,9.7,0.0210021761205903,0,0,0,0,100,0,0,0,28.9200369360511,3333.97969611167
"CZ08",2010,26.965375834302,5426.8,232.8,17000,1733932,10.2,0.0210021761205903,0,0,0,0,100,0,0,0,29.065593446361,3301.58889506477
"CZ08",2011,26.8215912778701,5426.8,232,18500,1808634,9.3,0.0210021761205903,0,0,0,0,100,0,0,0,28.9218088899291,3198.6712224412
"CZ08",2012,26.8209844426542,5427.1,231.3,18800,2015211,9.5,0.0210021761205903,0,0,0,0,100,0,0,0,28.9212020547132,3195.5341194962
"CZ08",2013,26.8210327776635,5427.1,230.5,18400,1947561,9.9,0.0210021761205903,0,0,0,0,100,0,0,0,28.9212503897225,3188.06636145257
"DE11",2009,15.3262647432398,10557.6,379.2,36247.7322802061,8332881,5.3,0.346292343046676,0,0,0,0,100,0,0,0,49.9554990479074,5759.00438519946
"DE11",2010,15.3618064862969,10557.7,379,37600,8825481,5,0.346292343046676,0,0,0,0,100,0,0,0,49.9910407909645,5678.53071476999
"DE11",2011,15.2856367185824,10557.7,379.8,40100,9653382,3.6,0.346292343046676,0,0,0,0,100,0,0,0,49.91487102325,5520.44521563552
"DE11",2012,15.3064572427038,10557.7,381.4,41400,10312973,3.4,0.346292343046676,0,0,0,0,100,0,0,0,49.9356915473714,5517.44722845149
"DE11",2013,15.3147747671041,10557.6,383.6,42302.6007857607,10444980,3.6,0.346292343046676,0,0,0,0,100,0,0,0,49.9440090717717,5505.46097185271
